!subject_id,#file_name,#subfolder,#parent_folder,#original_file_name,#warehouse,#location,#granite_type,#slab_id,#date_time,#latitude_longitude,#columns_or_rows,#glare_area(mm^2),#grain_density,"#grain_stats(mm)(number, mean_size,median_size, size_25_percentile, size_75_percentile)"
e273,e273_4321_1_1_UnitedStoneInternational_Cleveland_OH_.jpeg,4321_DallasWhite_c8,6-16-2021_UnitedStoneInternational_Cleveland_OH,IMG_3070 - Copyjpeg,UnitedStoneInternational,"Cleveland, OH",DallasWhite,4321,2020-07-09 14:33:40,"None, None",columns8,165.27474785372564,0.10626314137255605,"(1766, 1.2229455581121895, 0.6614104882459312, 0.413381555153707, 1.2921876388374214)"
e274,e274_4321_1_2_UnitedStoneInternational_Cleveland_OH_.jpeg,4321_DallasWhite_c8,6-16-2021_UnitedStoneInternational_Cleveland_OH,IMG_3070jpeg,UnitedStoneInternational,"Cleveland, OH",DallasWhite,4321,2020-07-09 14:33:40,"None, None",columns8,165.27474785372564,0.10626314137255605,"(1766, 1.2229455581121895, 0.6614104882459312, 0.413381555153707, 1.2921876388374214)"
e275,e275_4321_1_3_UnitedStoneInternational_Cleveland_OH_.jpeg,4321_DallasWhite_c8,6-16-2021_UnitedStoneInternational_Cleveland_OH,IMG_3070HorFlip - Copyjpeg,UnitedStoneInternational,"Cleveland, OH",DallasWhite,4321,6-16-2021,"None, None",columns8,176.2933681716365,0.10629850658417507,"(1766, 1.2199003546381992, 0.6614104882459312, 0.413381555153707, 1.2678898364915758)"
e276,e276_4321_1_4_UnitedStoneInternational_Cleveland_OH_.jpeg,4321_DallasWhite_c8,6-16-2021_UnitedStoneInternational_Cleveland_OH,IMG_3070HorFlipjpeg,UnitedStoneInternational,"Cleveland, OH",DallasWhite,4321,6-16-2021,"None, None",columns8,176.2933681716365,0.10629850658417507,"(1766, 1.2199003546381992, 0.6614104882459312, 0.413381555153707, 1.2678898364915758)"
e277,e277_4321_1_5_UnitedStoneInternational_Cleveland_OH_.jpeg,4321_DallasWhite_c8,6-16-2021_UnitedStoneInternational_Cleveland_OH,IMG_3070HorVertFlip - Copyjpeg,UnitedStoneInternational,"Cleveland, OH",DallasWhite,4321,6-16-2021,"None, None",columns8,171.15013017929488,0.10635143177604318,"(1762, 1.225678035511058, 0.6614104882459312, 0.413381555153707, 1.2904231659976855)"
e278,e278_4321_1_6_UnitedStoneInternational_Cleveland_OH_.jpeg,4321_DallasWhite_c8,6-16-2021_UnitedStoneInternational_Cleveland_OH,IMG_3070HorVertFlipjpeg,UnitedStoneInternational,"Cleveland, OH",DallasWhite,4321,6-16-2021,"None, None",columns8,171.15013017929488,0.10635143177604318,"(1762, 1.225678035511058, 0.6614104882459312, 0.413381555153707, 1.2904231659976855)"
e279,e279_4321_1_7_UnitedStoneInternational_Cleveland_OH_.jpeg,4321_DallasWhite_c8,6-16-2021_UnitedStoneInternational_Cleveland_OH,IMG_3070VertFlip - Copyjpeg,UnitedStoneInternational,"Cleveland, OH",DallasWhite,4321,6-16-2021,"None, None",columns8,172.45188887966015,0.10632121683796092,"(1765, 1.2229526718381063, 0.6614104882459312, 0.413381555153707, 1.2822941522156464)"
e280,e280_4321_2_7_UnitedStoneInternational_Cleveland_OH_.jpeg,4321_DallasWhite_c8,6-16-2021_UnitedStoneInternational_Cleveland_OH,IMG_3070VertFlipjpeg,UnitedStoneInternational,"Cleveland, OH",DallasWhite,4321,6-16-2021,"None, None",columns8,172.45188887966015,0.10632121683796092,"(1765, 1.2229526718381063, 0.6614104882459312, 0.413381555153707, 1.2822941522156464)"
